LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.55858,-72.05878,121.0,260.0,,7,[SAT-AIS],8,TVRjNE16Y3pNVGM0TXpjek1UYzRNdz09LVlpN2ZZc2U1dDhyVHBaMWxNQ05zbkE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.22833,-75.5,130.0,258.0,,3,[SAT-AIS],8,TWpVMk5USTNNalUyTlRJM01qVTJOUT09LVVSRUlIMndja2VyaVpmYytHc1lGWXc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.96277,-75.84683,115.0,263.0,,30,[SAT-AIS],8,TXpVME1URXpNelUwTVRFek16VTBNUT09LVp4WE9SVDNtK0ttb1BTSVg3ZjhZM1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12571,-78.57964,145.0,108.0,106.0,485,FRONT SAMARA,8,5823875,,,,FOS FRANCE,HK,275.0,0.0,48.0,226.0,26.0,158018.0,17.0
25.74333,-76.53833,140.0,83.0,,3,[SAT-AIS],8,TnpFek5UTXdOekV6TlRNd056RXpOUT09LVJvNHFVaWt3NkR3QmpTeXRsOUEvVVE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12679,-78.52834,132.0,107.0,105.0,525,NORDIC CYGNUS,8,5648255,,,,FRFOS,KY,277.0,0.0,48.0,227.0,20.0,157526.0,17.0
25.755,-76.565,120.0,80.0,,8,[SAT-AIS],8,TXpVNE1UZzFNelU0TVRnMU16VTRNUT09LU5xY0dvSmczaWZRTVFaMzRiWTNURUE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.02167,-67.35333,140.0,254.0,,5,[SAT-AIS],8,TmprNU16TTNOams1TXpNM05qazVNdz09LVZLRnQvWmUwUEtuWTFZM2FxdE5zZUE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.57338,-79.42301,127.0,7.0,12.0,153,SELENA,8,753861,,,,TRANMERE UK,LR,274.0,0.0,48.0,232.0,20.0,150296.0,17.0
27.07478,-79.36375,131.0,2.0,,13,[SAT-AIS],8,TlRFeU5EUXlOVEV5TkRReU5URXlOQT09LUN3ZlA3WUdXT3pTQ1c3OFRFbEc0YkE9PQ==,8.0,Tanker,Constrained by her Draught,,,,,,,,,
25.59899,-75.88525,173.0,325.0,326.0,255,ULSAN EXPRESS,7,141557,,,,PAMIT>USSAV,DE,366.0,-1.0,48.0,141.0,29.0,142023.0,11.0
26.58,-76.565,160.0,327.0,,4,[SAT-AIS],7,TWprME56VTJNamswTnpVMk1qazBOdz09LWRmSjBhOGJtb2g2M0ZuRkJ4MlJYT1E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.27333,-74.63167,150.0,180.0,,6,[SAT-AIS],7,TWpBM05qUXdNakEzTmpRd01qQTNOZz09LUhPNmI3WTgvb3lnMTU4a3FVeXZlM2c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
31.1828,-80.00394,203.0,156.0,155.0,399,EVER FULL,7,6684559,,,,COLON,LR,333.0,0.0,48.0,130.0,28.0,135000.0,11.0
29.69039,-79.02649,205.0,131.0,,89,[SAT-AIS],7,TkRVM05qSXdORFUzTmpJd05EVTNOZz09LWNqbGZOSTRTMlduVzJETzlvMFlaaGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.2855,-78.04257,147.0,337.0,,11,[SAT-AIS],7,TlRrNU1qZzVOVGs1TWpnNU5UazVNZz09LUk4RXd1QkZXRld4MmRFMGZwbGFnZWc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.10167,-67.73833,160.0,43.0,,5,[SAT-AIS],7,TWpNM09UZzVNak0zT1RnNU1qTTNPUT09LThYbHFRSWVTOWZOQ1RUcFZCY2NsYmc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
32.065,-72.79166,120.0,223.0,,4,[SAT-AIS],8,TmpneE56QTVOamd4TnpBNU5qZ3hOdz09LWpNcldUc0pPQWRYMVZvTUUvWjA0Wnc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.37952,-78.65611,1.0,322.0,230.0,3,MSC CANDICE,7,410644,,,,BSFPO,PA,336.0,0.0,45.0,260.0,18.0,116932.0,11.0
26.05667,-75.51334,120.0,256.0,,4,[SAT-AIS],8,TWpZMk5qRTFNalkyTmpFMU1qWTJOZz09LWRSOG1mS3gxWEc3MFdMNGZFbEROL1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12352,-78.42001,125.0,10.0,109.0,277,FOS DA VINCI,8,213780,,,,LTBOT,MT,250.0,,43.0,208.0,27.0,115878.0,71.0
25.80998,-77.48165,123.0,121.0,,10,[SAT-AIS],8,TXpJeE16VXhNekl4TXpVeE16SXhNdz09LXNOVkJ6cnU3OElKUTUrVXBMQ1hTUnc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.5276,-78.76588,0.0,302.0,220.0,3,MSC ADONIS,7,3603412,,,,BSFPO,LR,300.0,0.0,48.0,233.0,32.0,115639.0,11.0
28.5031,-70.7694,121.0,247.0,,3,[SAT-AIS],8,T1Rjd09ERXpPVGN3T0RFek9UY3dPQT09LXA4ek1jZDFRR1puUFZUQ1E4RVUrL0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.86336,-77.02258,179.0,143.0,142.0,122,ZIM XIAMEN,7,3568000,,,,KINGSTON,LR,299.0,0.0,48.0,227.0,18.0,111884.0,11.0
26.45281,-76.71353,129.0,147.0,,4,[SAT-AIS],7,TVRRNU5USTFNVFE1TlRJMU1UUTVOUT09LTVWYzVPRU5ZYVRGZUxBdzZyNTgvbHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.20333,-77.305,110.0,217.0,,13,[SAT-AIS],8,T1Rjd01USXlPVGN3TVRJeU9UY3dNUT09LWQwcC9iVmVFNUMzWVZQeDBKRmJpa3c9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.22444,-79.0748,112.0,43.0,43.0,1,MSC RACHELE,7,415080,,,,BSFPO,PA,334.0,0.0,42.0,243.0,26.0,107366.0,11.0
32.6002,-79.58549,88.0,120.0,122.0,1242,MSC TORONTO,7,152756,,,,MAPTM,PT,324.0,0.0,42.0,249.0,18.0,105084.0,11.0
29.65,-75.325,130.0,110.0,,5,[SAT-AIS],7,TlRneU1EQTNOVGd5TURBM05UZ3lNQT09LTJoR1gzdGtwbmhkemEwOEJvSWpOVGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.08918,-78.42125,169.0,103.0,102.0,356,CMA CGM ATTILA,7,149929,,,,EGSUZ,MT,334.0,0.0,42.0,244.0,17.0,101473.0,11.0
