id;idMarche;source;type;natureObjetMarche;objetMarche;codeCPV_Original;codeCPV;codeCPV_division;referenceCPV;dateNotification;anneeNotification;moisNotification;datePublicationDonnees;dureeMois;dureeMoisEstimee;dureeMoisCalculee;montant;nombreTitulaireSurMarchePresume;montantCalcule;formePrix;lieuExecutionCode;lieuExecutionTypeCode;lieuExecutionNom;codeDepartementExecution;codeRegionExecution;libelleRegionExecution;nature;accord-cadrePresume;procedure;idAcheteur;sirenAcheteurValide;nomAcheteur;codeRegionAcheteur;libelleRegionAcheteur;departementAcheteur;libelleDepartementAcheteur;codePostalAcheteur;libelleArrondissementAcheteur;codeArrondissementAcheteur;libelleCommuneAcheteur;codeCommuneAcheteur;superficieCommuneAcheteur;populationCommuneAcheteur;geolocCommuneAcheteur;typeIdentifiantEtablissement;siretEtablissement;siretEtablissementValide;sirenEtablissement;nicEtablissement;sirenEtablissementValide;categorieEtablissement;denominationSocialeEtablissement;codeRegionEtablissement;libelleRegionEtablissement;libelleDepartementEtablissement;departementEtablissement;libelleArrondissementEtablissement;codeArrondissementEtablissement;codePostalEtablissement;adresseEtablissement;communeEtablissement;codeCommuneEtablissement;codeTypeEtablissement;superficieCommuneEtablissement;populationCommuneEtablissement;distanceAcheteurEtablissement;geolocCommuneEtablissement;typeIdentifiant_cotitulaire1;id_cotitulaire1;denominationSociale_cotitulaire1;typeIdentifiant_cotitulaire2;id_cotitulaire2;denominationSociale_cotitulaire2;typeIdentifiant_cotitulaire3;id_cotitulaire3;denominationSociale_cotitulaire3
2019DTS3800;138468;Dematis;Marché;Services;"Marché de transport scolaire non urbain: Lot 3 : Lot intra communal ; FORT DE France";60100000;60100000-9;60;Services de transport routier;2019-07-19;2019;07;2019-07-30;60;False;60.0;752922.0;1.0;752922.0;Ferme et actualisable;972;CODE DEPARTEMENT;MARTINIQUE;;nan;;ACCORD-CADRE;;Appel d'offres ouvert;20007535600010;True;Martinique Transport;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;53960180700032;True;539601807;00032;True;PME;TRANSPORT BONIFACE;2;Martinique;Martinique;972;Fort-de-France;9721;97200;<NA>;FORT-DE-FRANCE;97209;4939A;4353.0;85667.0;0.0;14.6408734458,-61.069176472;;;;;;;;;
20212201FCS0200;267881;PES Marchés;Marché;Services;NETTOIEMENT GENERALES DES ESPACE  PUBLIC LOT No1 -RUES-PLACES-CANIVEAUX -ESPACES PUBLICS BOURG-PLAGES;90522400-6;90522400-6;90;Nettoyage et traitement du sol;2021-10-29;2021;10;2022-04-12;36;False;36.0;1295634.0;1.0;1295634.0;Ferme;97229;CODE POSTAL;Les Trois-Îlets;;nan;;MARCHE;;Appel d'offres ouvert;21972231100012;True;Etablissement COMMUNE TROIS ILETS;02;Martinique;972;Martinique;97229;Le Marin;9723;LES TROIS-ILETS;97231;2848.0;7587.0;14.5269538287,-61.0368445511;SIRET;47925193600015;True;479251936;00015;True;ETI;CIVIS;2;Martinique;Martinique;972;Fort-de-France;9721;97232;<NA>;LE LAMENTIN;97213;8130Z;6792.0;39700.0;7.154305232364663;14.6246455763,-60.9935529523;;;;;;;;;
2021SIGP1800;138595;PES Marchés;Marché;Travaux;Fourniture et pose de portails motorisés sur le pôle d'échanges de Carrère;45421148-3;45421148-3;45;Installation de portails;2021-07-09;2021;07;2021-05-31;4;False;4.0;43213.0;1.0;43213.0;Ferme et actualisable;97200;CODE POSTAL;FORT DE FRANCE;;nan;;MARCHE;;Procédure adaptée;20007535600010;True;MARTINIQUE TRANSPORT;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;89068001000018;True;890680010;00018;True;NC;SAS NEWBAT FWI;2;Martinique;Martinique;972;Le Marin;9723;97280;Quartier COCOTTE;VAUCLIN;97232;4120A;4029.0;9140.0;24.248855157106167;14.5434826313,-60.856771185;;;;;;;;;
2021DTS4301;138581;Dematis;Marché;Services;Transport des élèves et étudiants en situation de handicap: Lot 12 : INTRACOMMUNAUTAIRE-nord;60130000;60130000-8;60;Services spécialisés de transport routier de passagers;2020-12-31;2020;12;2021-01-06;48;False;48.0;1658114.0;2.0;1658114.0;Révisable;02;CODE DEPARTEMENT;Martinique;;nan;;MARCHE;;Appel d'offres ouvert;20007535600010;True;Martinique Transport;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;80281475600036;True;802814756;00036;True;PME;NORADOM TRANSPORTS;2;Martinique;Martinique;972;Le Marin;9723;97224;<NA>;DUCOS;97207;8690A;3129.0;17039.0;11.831609361649463;14.5778958668,-60.9674898168;;;;;;;;;
2021DTS4301;138582;Dematis;Marché;Services;Transport des élèves et étudiants en situation de handicap: Lot 12 : INTRACOMMUNAUTAIRE-nord;60130000;60130000-8;60;Services spécialisés de transport routier de passagers;2020-12-31;2020;12;2021-01-06;48;False;48.0;1658114.0;2.0;1658114.0;Révisable;02;CODE DEPARTEMENT;Code département;;nan;;MARCHE;;Appel d'offres ouvert;20007535600010;True;Martinique Transport;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;80281475600036;True;802814756;00036;True;PME;NORADOM TRANSPORTS;2;Martinique;Martinique;972;Le Marin;9723;97224;<NA>;DUCOS;97207;8690A;3129.0;17039.0;11.831609361649463;14.5778958668,-60.9674898168;;;;;;;;;
2021DTS4901;138589;Dematis;Marché;Services;Transport des élèves et étudiants en situation de handicap: Lot 18 : INTERCOMMUNAUTAIRE-sud-centre;60130000;60130000-8;60;Services spécialisés de transport routier de passagers;2021-01-05;2021;01;2021-01-07;48;True;2.0;0.0;1.0;0.0;Révisable;02;CODE DEPARTEMENT;Martinique;;nan;;MARCHE;;Appel d'offres ouvert;20007535600010;True;Martinique Transport;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;79848940700030;True;798489407;00030;True;PME;BLUE CAR;2;Martinique;Martinique;972;Le Marin;9723;97224;<NA>;DUCOS;97207;4932Z;3129.0;17039.0;11.831609361649463;14.5778958668,-60.9674898168;;;;;;;;;
2018000000001400;267292;PES Marchés;Marché;Travaux;FABRICATION,FOURNITURE,TRANSPORT ET MISE EN OEUVRE DE MATERIAUX ENROBES AUX LIANTS HYDROCARBONES SUR LE RESEAU ROUTIER COMMUNAL ET EQUIPEMENTS PUBLICS COMMUNAUX DE LA VILLE DU DIAMANT;45454100-5;45454100-5;45;Travaux de réfection;2019-02-18;2019;02;2022-07-27;48;False;48.0;171000.0;1.0;171000.0;Ferme;97223;CODE POSTAL;LE DIAMANT;;nan;;MARCHE;;Procédure adaptée;21972206300019;True;DIAMANT;02;Martinique;972;Martinique;97223;Le Marin;9723;DIAMANT;97206;2794.0;5983.0;14.4888423004,-61.0203109436;SIRET;37913468700050;True;379134687;00050;True;NC;CARAIB MOTER;2;Martinique;Martinique;972;La Trinité;9722;97231;<NA>;LE ROBERT;97222;2399Z;4592.0;23715.0;13.285113739635232;14.6750215682,-60.9426442432;;;;;;;;;
2019s0JpO8J7SU00;423141;API AIFE;Marché;Travaux;18 LGTS LANGELLIER BELLEVUE-Lot 24 - CARRELAGE REVETEMENTS;45211340;45211340-4;45;Travaux de construction d'immeubles collectifs;2020-02-11;2020;02;2020-08-24;17;False;17.0;128983.48;1.0;128983.0;Ferme;972;CODE DEPARTEMENT;Martinique;;nan;;MARCHE;;Procédure adaptée;30314998300023;True;Société OZANAM;02;Martinique;972;Martinique;97233;Fort-de-France;9721;SCHOELCHER;97229;2109.0;20103.0;14.6460950766,-61.100358959;SIRET;48766481500023;True;487664815;00023;True;PME;AMBROISE CONSTRUCTION;2;Martinique;Martinique;972;Fort-de-France;9721;97200;Rue GEORGES EUCHARIS;FORT-DE-FRANCE;97209;4333Z;4353.0;85667.0;3.4860872021874987;14.6408734458,-61.069176472;;;;;;;;;
2018fi4C87KWA000;425536;API AIFE;Marché;Fournitures;18 24 00-Fourniture de papier offset et numXXXXXrique;30197630;30197630-1;30;Papier d'impression;2018-11-16;2018;11;2019-05-23;36;False;36.0;1255000.0;1.0;1255000.0;Révisable;972;CODE DEPARTEMENT;Martinique;;nan;;MARCHE;;Procédure adaptée;31402496900029;True;CGSS MARTINIQUE;02;Martinique;972;Martinique;97232;Fort-de-France;9721;LE LAMENTIN;97213;6792.0;39700.0;14.6246455763,-60.9935529523;SIRET;79535957900047;True;795359579;00047;True;PME;SN PAPETERIE DES CARAIBES;2;Martinique;Martinique;972;Fort-de-France;9721;97232;<NA>;LE LAMENTIN;97213;4669C;6792.0;39700.0;0.0;14.6246455763,-60.9935529523;;;;;;;;;
2020d4UJf_V0J500;267348;API AIFE;Marché;Fournitures;MAPA pour l'impression et la réalisation d'agendas personnalisés et calendriers personnalisés 2021 de la Ville de Fort-de-France;22817000;22817000-0;22;Agendas ou mémentos personnels;2020-10-19;2020;10;2021-02-18;24;True;1.0;0.0;1.0;0.0;Ferme;97200;CODE POSTAL;Martinique;;nan;;MARCHE;;Procédure adaptée;21972209700017;True;SERVICE MARCHES DE FOURNITURES ET SERVICES;02;Martinique;972;Martinique;97200;Fort-de-France;9721;FORT-DE-FRANCE;97209;4353.0;85667.0;14.6408734458,-61.069176472;SIRET;80757913100051;True;807579131;00051;True;PME;AECP Conseil 972;2;Martinique;Martinique;972;Fort-de-France;9721;97200;Rue DES ARTS ET METIERS;FORT-DE-FRANCE;97209;7021Z;4353.0;85667.0;0.0;14.6408734458,-61.069176472;;;;;;;;;
